15,62
45,19
41,57
67,91
29,36
63,45
10,96
75,17
91,19
92,74
1,64
63,39
99,83
78,86
23,71
38,85
27,43
36,41
57,43
44,78
7,26
88,51
29,28
63,50
44,14
25,83
42,69
82,61
75,2
99,85
44,1
90,71
17,78
20,71
53,27
45,7
43,83
12,76
97,19
66,98
54,79
27,16
50,45
3,63
63,64
6,56
43,25
30,99
79,72
52,78
95,3
55,59
41,17
100,15
90,64
36,21
32,87
7,56
82,47
32,72
58,53
69,7
77,65
73,56
40,18
25,9
44,100
66,7
50,32
45,60
32,31
88,92
54,86
54,100
38,51
26,76
7,33
39,43
2,40
49,76
21,4
49,36
57,86
84,36
41,57
55,20
32,7
69,31
53,19
81,48
11,63
27,98
31,31
81,9
18,55
92,93
16,26
20,48
69,61
60,35
39,44
92,41
92,4
23,57
38,81
79,46
68,52
47,54
49,16
82,52
88,75
32,56
25,47
19,18
25,79
89,91
95,94
17,81
9,60
84,17
10,57
38,48
100,35
45,59
52,21
89,55
91,17
57,43
4,75
14,7
7,70
30,58
26,31
85,65
35,83
58,47
5,90
76,22
78,83
57,18
68,51
26,90
52,15
66,22
77,81
93,51
96,79
2,39
76,16
36,98
42,4
27,8
31,22
43,78
89,76
12,53
86,43
29,46
6,17
1,22
49,33
83,80
31,10
88,23
53,8
46,65
47,71
46,41
36,77
29,42
84,79
100,30
72,15
68,74
37,42
67,51
97,80
22,16
8,97
27,52
94,62
80,88
30,46
73,14
67,11
44,48
90,78
34,10
38,51
90,2
54,73
27,16
55,44
5,18
80,58
12,38
98,75
90,64
22,46
75,85
58,5
7,82
48,21
58,7
5,91
41,72
38,22
91,99
74,64
79,93
85,96
65,5
83,66
17,60
86,89
73,40
13,29
5,40
12,31
49,68
18,52
16,52
29,8
76,28
86,49
26,51
80,77
34,88
23,16
53,2
60,89
72,71
21,38
61,32
67,18
69,60
64,49
81,59
82,28
65,7
32,78
84,40
9,47
58,49
100,23
96,4
2,37
14,16
54,50
67,14
18,63
8,78
26,56
31,63
68,30
26,43
99,18
55,18
71,40
51,62
38,32
56,96
92,53
29,38
10,54
41,59
90,6
74,60
53,58
13,4
36,80
44,28
21,84
61,97
22,12
65,4
57,76
73,5
38,13
6,69
34,95
30,45
3,99
79,29
63,49
89,85
24,39
6,23
89,16
76,36
74,75
60,18
98,91
77,15
33,46
55,93
79,93
48,5
59,73
75,30
55,20
62,82
36,16
95,89
27,96
13,6
41,54
60,84
78,40
53,90
30,12
100,100
53,38
62,75
98,57
76,5
66,89
45,26
57,54
46,27
72,90
86,90
68,37
17,62
15,11
62,83
55,43
52,65
5,23
2,8
74,19
35,58
29,28
90,7
46,77
4,66
18,24
25,69
12,66
55,42
77,33
57,93
37,73
23,7
90,43
34,96
95,59
12,59
74,27
59,48
57,72
45,52
81,82
67,41
7,1
27,61
6,57
56,15
88,22
14,76
77,39
41,46
86,23
90,38
37,54
61,96
42,35
6,93
4,51
95,20
78,36
48,41
65,53
16,44
93,78
44,12
43,14
80,64
8,69
83,17
10,57
21,93
84,47
66,2
98,69
67,71
48,86
49,76
58,78
57,63
47,25
56,41
99,78
41,5
12,52
95,36
92,57
26,53
12,26
47,93
26,35
81,28
80,25
95,52
77,60
90,89
5,77
62,31
6,80
80,22
43,64
68,8
93,87
95,27
41,94
58,82
7,20
27,42
19,97
36,18
21,52
97,3
81,48
65,95
27,64
62,78
76,87
85,80
31,18
34,77
96,25
63,34
76,34
85,21
75,76
11,76
33,97
12,33
58,36
21,55
62,6
68,65
8,15
59,14
78,37
2,20
65,18
96,18
63,93
9,88
96,1
94,37
24,71
51,34
48,45
